@relation ActivityClassification

@attribute acc_z numeric
@attribute acc_y numeric
@attribute acc_x numeric
@attribute class { not_legslide, legslide}

@data
-3.06,-1.62,0.12,legslide
-3.38,0.56,6.06,legslide
-3.69,1.94,0.94,legslide
-3.56,2.88,-1.69,legslide
-3.94,1.06,1.94,legslide
-3.06,1.56,-0.69,legslide
-4.25,0.94,2.19,legslide
-4.00,2.12,-1.00,legslide
-4.12,0.19,4.00,legslide
-3.75,1.94,-3.25,legslide
-4.44,-0.38,3.06,legslide
-3.44,1.19,-2.06,legslide
-4.62,-0.50,3.25,legslide
-3.38,1.88,-2.19,legslide
-3.75,3.00,0.94,legslide
-4.25,0.19,4.00,legslide
-3.50,1.44,-2.81,legslide
-3.94,2.19,0.00,legslide
-3.88,2.19,0.00,legslide
-4.00,2.19,2.38,legslide
-4.69,2.19,2.38,legslide
-3.06,1.12,-3.25,legslide
-3.06,0.88,3.69,legslide
-3.94,2.06,-2.06,legslide
-3.75,2.31,0.62,legslide
-3.62,2.94,0.94,legslide
-3.62,1.88,-2.50,legslide
-3.38,0.69,3.88,legslide
-4.06,3.00,-0.19,legslide
-3.06,3.06,0.25,legslide
-3.75,0.00,4.50,legslide
-3.94,2.62,-0.31,legslide
-4.19,2.62,-1.06,legslide
-4.25,0.81,3.00,legslide
-3.75,1.81,-3.38,legslide
-4.00,-0.12,3.38,legslide
-3.31,2.94,-2.00,legslide
-4.25,1.88,2.00,legslide
-5.12,2.56,3.25,legslide
-3.12,2.38,-3.19,legslide
-3.19,-0.31,4.06,legslide
-3.44,2.62,-0.69,legslide
-3.62,2.12,1.62,legslide
-4.19,3.25,0.25,legslide
-2.69,2.56,1.06,legslide
-3.44,3.88,1.00,legslide
-3.94,1.38,3.25,legslide
-3.38,3.06,0.88,legslide
-4.25,3.44,-2.62,legslide
-4.75,1.56,3.75,legslide
-5.00,1.44,-1.00,legslide
-3.12,2.50,1.69,legslide
-4.81,-0.06,-4.00,legslide
-3.00,-0.06,-4.00,legslide
-3.88,2.50,-0.50,legslide
-3.88,2.50,-0.50,legslide
-2.75,1.25,-1.06,legslide
-4.69,1.62,1.50,legslide
-3.62,-0.12,-2.88,legslide
-3.62,2.69,1.56,legslide
-4.69,1.75,0.50,legslide
-4.75,0.00,-1.25,legslide
-3.12,0.94,3.69,legslide
-3.75,0.69,-3.12,legslide
-4.06,1.00,-1.00,legslide
-4.94,1.19,2.31,legslide
-2.75,0.06,-2.75,legslide
-3.56,1.88,0.94,legslide
-4.94,2.38,0.00,legslide
-3.88,1.25,-1.06,legslide
-5.81,2.00,4.12,legslide
-3.19,0.00,-2.44,legslide
-2.94,1.31,2.81,legslide
-4.06,2.00,-0.75,legslide
-3.81,1.31,-0.62,legslide
-7.94,2.00,3.00,legslide
-3.75,0.94,-3.00,legslide
-4.19,2.19,3.62,legslide
-4.06,0.88,-2.19,legslide
-2.50,2.19,-0.81,legslide
-3.88,2.06,0.06,legslide
-3.94,0.94,-1.88,legslide
-4.50,2.81,1.69,legslide
-4.25,0.19,-3.25,legslide
-4.31,2.38,3.06,legslide
-2.88,0.75,-2.38,legslide
-2.88,2.00,-0.25,legslide
-3.75,2.38,-0.06,legslide
-4.19,0.88,-1.62,legslide
-4.56,2.44,4.00,legslide
-3.94,0.12,-3.06,legslide
-3.31,2.06,1.62,legslide
-3.94,1.31,-2.00,legslide
-3.38,0.88,-0.69,legslide
-4.75,1.88,0.56,legslide
-4.44,0.50,-1.75,legslide
-4.56,0.00,3.81,legslide
-4.50,1.25,-3.94,legslide
-3.75,2.62,2.38,legslide
-4.06,2.00,-0.69,legslide
-3.44,1.19,-0.06,legslide
-4.94,1.94,2.00,legslide
-2.12,0.38,-3.06,legslide
-4.25,1.88,4.88,legslide
-4.94,1.62,-1.81,legslide
-3.69,3.00,-0.38,legslide
-4.81,3.38,0.94,legslide
-3.06,0.38,-2.88,legslide
-4.94,1.50,3.94,legslide
-3.62,1.94,-3.12,legslide
-3.94,2.44,1.38,legslide
-3.38,1.62,1.00,legslide
-4.94,3.81,0.75,legslide
-3.38,-4.06,0.56,legslide
-4.25,1.69,1.06,legslide
-3.56,0.75,2.50,legslide
-4.50,4.88,0.25,legslide
-4.06,4.88,0.25,legslide
-3.94,0.31,1.38,legslide
-4.81,1.75,1.50,legslide
-4.25,-4.75,0.69,legslide
-3.81,3.56,0.56,legslide
-4.12,-1.56,1.56,legslide
-4.06,-1.88,0.88,legslide
-4.69,0.31,1.38,legslide
-3.81,4.56,0.06,legslide
-4.25,-3.44,0.06,legslide
-4.19,0.56,0.94,legslide
-4.44,0.38,1.88,legslide
-4.88,-3.12,1.38,legslide
-4.31,5.00,-0.56,legslide
-3.81,-1.94,1.00,legslide
-4.38,0.44,1.62,legslide
-4.31,2.50,0.81,legslide
-3.94,-3.69,-0.44,legslide
-3.94,2.62,0.50,legslide
-3.62,-0.06,1.44,legslide
-4.50,-3.38,0.69,legslide
-3.88,4.12,-0.81,legslide
-4.31,-1.38,0.44,legslide
-4.50,-0.88,1.88,legslide
-3.62,3.38,0.06,legslide
-4.00,-4.38,-0.94,legslide
-4.81,3.06,0.31,legslide
-4.44,-0.06,0.94,legslide
-4.12,-2.75,-0.12,legslide
-3.50,5.25,-1.00,legslide
-3.75,0.00,1.69,legslide
-4.19,0.00,1.69,legslide
-3.88,-4.69,0.00,legslide
-4.06,-4.69,0.00,legslide
-3.69,1.88,0.81,legslide
-3.94,-0.75,1.81,legslide
